b1_cold 0 266 26.7129942000378 None
b1_cold 1 282 26.559973058270323 None
b1_cold 2 277 26.52831586823357 None
b1_cold 3 266 25.960272121344907 None
b1_cold 4 162 25.299118804266037 AssertionError()
b1_cold 5 0 None AssertionError()
b1_cold 6 0 None ConnectionResetError(104, 'Connection reset by peer')
b1_cold 7 0 None ConnectionResetError(104, 'Connection reset by peer')
b1_warm 0 0 None ConnectionResetError(104, 'Connection reset by peer')
b1_warm 1 0 None ConnectionResetError(104, 'Connection reset by peer')
b1_warm 2 0 None ConnectionResetError(104, 'Connection reset by peer')
b1_warm 3 0 None ConnectionResetError(104, 'Connection reset by peer')
b1_warm 4 0 None ConnectionResetError(104, 'Connection reset by peer')
b1_warm 5 0 None ConnectionResetError(104, 'Connection reset by peer')
b1_warm 6 0 None ConnectionResetError(104, 'Connection reset by peer')
b1_warm 7 0 None ConnectionResetError(104, 'Connection reset by peer')
b4_mixed 1 0 None URLError(BrokenPipeError(32, 'Broken pipe'))
b4_mixed 3 0 None URLError(ConnectionResetError(104, 'Connection reset by peer'))
b4_mixed 2 0 None URLError(ConnectionResetError(104, 'Connection reset by peer'))
b4_mixed 0 0 None URLError(BrokenPipeError(32, 'Broken pipe'))
b4_mixed 6 0 None ConnectionResetError(104, 'Connection reset by peer')
b4_mixed 5 0 None ConnectionResetError(104, 'Connection reset by peer')
b4_mixed 4 0 None ConnectionResetError(104, 'Connection reset by peer')
b4_mixed 7 0 None URLError(BrokenPipeError(32, 'Broken pipe'))
